x y
6.8738 0.9239
7.8783 0.6251
6.6118 0.9337
4.2514 0.5446
6.4763 0.9084
8.2663 0.0714
1.6592 0.3076
7.4896 0.5692
2.8861 0.1244
6.8868 0.6997
9.4268 0.5005
4.938 0.0804
0.3986 0.432
3.2232 0.2504
0.9133 0.9619
8.3596 0.5752
9.5079 0.9996
6.7228 0.2695
0.4023 0.7563
4.705 0.6515
9.1607 0.1815
5.8533 0.6348
4.9173 0.0912
3.4796 0.3333
6.7013 0.8577
3.298 0.6937
2.8822 0.9452
8.1357 0.5501
4.5483 0.3145
3.2327 0.9702
4.0418 0.5146
9.8812 0.6577
5.4259 0.4132
1.8758 0.3618
7.5644 0.6254
7.5999 0.2036
5.4922 0.9277
4.3812 0.6983
1.2143 0.9731
6.0887 0.2393
1.5838 0.5508
5.5225 0.0932
9.9226 0.9129
4.6145 0.1175
8.3214 0.4984
7.166 0.5089
2.7342 0.8347
9.8024 0.2437
5.5127 0.3836
9.2187 0.5082
8.7933 0.864
2.7625 0.79
4.1494 0.9342
5.0774 0.8205
2.8284 0.2986
5.8694 0.9989
4.8964 0.1486
5.3858 0.3451
5.5192 0.5434
4.5534 0.3218
1.8865 0.6975
5.718 0.2336
7.7554 0.0436
7.4471 0.7052
8.1141 0.3861
6.6369 0.8207
9.8082 0.4953
0.3702 0.5023
5.9018 0.8697
8.7419 0.4403
5.2595 0.4569
7.2244 0.41
6.5478 0.1544
4.6949 0.9692
3.3856 0.6927
6.4984 0.8518
8.5234 0.8593
3.8001 0.3167
7.1872 0.7594
8.7238 0.0359
0.6842 0.6312
9.2093 0.9974
7.4677 0.434
0.9844 0.6337
8.7258 0.4437
6.94 0.9034
0.4599 0.7961
2.9337 0.3748
1.4557 0.5312
5.6593 0.7925
1.6998 0.079
8.7084 0.6197
2.4083 0.9128
1.4312 0.4611
2.5398 0.2553
0.094 0.8046
9.0121 0.6776
1.5798 0.4417
3.4557 0.5876
6.3894 0.4243
2.501 0.8453
1.9922 0.3847
4.8321 0.2372
5.7192 0.5748
9.9269 0.2952
9.7794 0.6582
2.7448 0.5659
6.858 0.7447
0.4904 0.6064
4.9673 0.9042
2.8619 0.7989
6.0706 0.3523
6.3662 0.6209
6.7776 0.7209
6.5918 0.8383
6.2825 0.9034
6.4634 0.3089
4.4082 0.5796
7.3236 0.0901
2.9511 0.7475
1.7564 0.1322
5.3941 0.9715
5.3085 0.9135
8.3047 0.257
8.2469 0.4818
8.0649 0.7466
3.3872 0.1152
9.6289 0.1408
9.665 0.8601
7.2422 0.9799
9.6727 0.8046
3.6578 0.7907
0.1392 0.5366
4.5479 0.6728
6.7234 0.5846
8.2242 0.9403
1.0835 0.2338
0.2502 0.8842
5.6141 0.9153
2.2137 0.0632
8.2386 0.9094
3.0219 0.4083
1.3978 0.9463
3.0436 0.4926
0.9719 0.8873
1.3566 0.4536
6.7049 0.7431
9.4597 0.4191
7.4227 0.1545
4.1488 0.099
4.8935 0.4081
9.5152 0.0327
3.7053 0.4434
9.5056 0.8555
